District,illiterate or selfstudy,edu_primary,edu_junior,edu_highschool,edu_junior_college,edu_college,edu_graudate
Taipei City,8447,124439,136468,480619,267732,836456,333683
New Taipei City,19834,261530,421868,1029320,420241,1139645,309469
Taoyuan City,12737,142713,206777,618425,216223,656420,170836
Taichung City,15807,183304,249226,729325,279560,807367,223441
Tainan City,13958,179828,180744,466878,162577,500628,145409
Kaosiung City,25742,208558,239134,751088,271756,728056,206841
Yilan County,5348,40247,65638,115196,43149,103496,26079
Hsinchu County,2267,36099,46005,140633,48854,165979,64836
Miaoli County,2567,46322,60178,154290,45881,131943,31288
Chuanghua County,20353,127300,145349,325676,104916,294592,64685
Nantou County,3439,49928,64994,137128,42589,102211,24103
Yunlin County,11782,83112,91380,176849,51463,142037,31921
Chiayi County,7764,67119,69037,135927,38093,99697,20950
Pintung County,9883,80522,90520,250451,71619,169073,37821
Taitung County,1740,25786,27324,64191,17539,40974,9650
Hualien County,1382,29651,34245,96068,31259,70493,17651
Penghu County,934,12793,13063,29268,8455,26693,6341
Keelung City,2529,26896,37154,109916,38873,90577,21272
Hsinchu City,1860,24888,33063,94870,36708,131837,63243
Chiayi City,1769,18068,19153,65222,29556,74528,21781
Kinmen County,837,10085,13317,36417,13984,45057,12616
Lienchiang City,281,1067,1156,3334,1345,4227,1141
