District,0-14 years old,15-64 years old,above 65 years old
Taipei City,"455,890","2,853,813","732,166"
New Taipei City,"309,600","1,646,228","555,463"
Taoyuan City,"318,321","1,649,461","351,336"
Taichung City,"377,523","2,017,934","451,807"
Tainan City,"211,436","1,297,702","350,662"
Kaosiung City,"305,410","1,906,797","525,323"
Yilan County,"50,717","312,221","86,829"
Hsinchu County,"91,166","415,601","83,021"
Miaoli County,"61,279","372,288","100,865"
Chuanghua County,"147,222","858,306","232,232"
Nantou County,"48,726","328,268","99,681"
Yunlin County,"68,756","454,408","136,400"
Chiayi County,"41,073","334,170","108,659"
Pintung County,"79,888","554,051","160,575"
Taitung County,"23,172","147,063","41,122"
Hualien County,"35,497","218,706","63,049"
Penghu County,"10,517","76,703","20,525"
Keelung City,"34,887","253,514","73,693"
Hsinchu City,"72,290","316,542","67,703"
Chiayi City,"32,688","182,074","48,607"
Kinmen County,"11,732","107,396","25,045"
Lienchang City,"1,427","10,497","2,110"
,"2,789,217","16,313,743","4,316,873"
