City,Households,Average people per household,Average number people of employed per household ,Average number people of income per household ,Income,Nonconsumption expenditure,Disposable income,Consumption expenditure
Keelung City,160175,2.51,1.07,1.63,1083638,164412,919226,723538
Taipei City,1067481,2.71,1.24,1.95,1803192,317731,1485461,1136637
New Taipei City,1686441,2.75,1.32,1.92,1472606,253455,1219151,909382
Taoyuan City,915413,2.99,1.47,1.87,1514458,273740,1240719,922775
Hsinchu County,223787,3.14,1.43,1.81,1868845,387308,1481536,1130910
Hsinchu City,180952,3.07,1.41,1.94,1858010,354364,1503646,1094975
Miaoli County,201016,2.99,1.32,1.76,1392770,229097,1163673,790033
Taichung City,1072458,2.82,1.37,1.81,1427394,255517,1171877,973022
Chuanghua County,408209,2.79,1.3,1.64,1100040,182146,917893,680430
Nantou County,181180,2.61,1.32,1.71,1048889,156726,892163,600709
Yunlin County,248104,2.74,1.38,1.65,1104001,164999,939002,671112
Chiayi County,186869,2.59,1.2,1.6,983335,146424,836911,667369
Chiayi City,103725,2.84,1.24,1.74,1455973,242757,1213216,928867
Tainan City,732432,2.81,1.38,1.75,1225320,215552,1009768,776782
Kaosiung City,1157284,2.74,1.34,1.8,1379657,235816,1143840,878620
Pintung County,299186,2.74,1.39,1.7,1086321,178425,907896,731275
Penghu County,43293,2.22,0.8,1.41,927834,134878,792956,537812
Hualien County,129223,2.39,1.07,1.61,1070204,166539,903665,630082
Taitung County,84948,2.41,1.11,1.46,916583,133848,782735,561103
Yilan County,179844,2.69,1.16,1.63,1116050,176439,939611,772616
